# ShogiBoardQ 2026.09.25 詰将棋局面生成
# 生成日時: 2026/09/26 15:32:18 JST
# エンジン: KomoringHeights 1.1.0 64ZEN2 (PostSearchLevel=MinLength)
# 目標手数: 9 手詰
# 局面数: 1000（重複なし）
# 攻め駒上限: 5 / 6 枚（生成バッチ別）
# 守り駒上限: 2 / 3 / 4 枚（玉以外、生成バッチ別）
# 配置範囲: 2 マス（玉中心、生成バッチ別）
# 探索時間/局面: 1 秒（生成バッチ別）
# 未使用駒: 玉方の持駒に追加
# 事前選別: 1 / 3 / 5 / 10 / 25 ms探索で9手詰を確認できた候補に限定（生成バッチ別）
# 玉位置の事前選別: 盤端からの距離 0 / 1 / 4 マス以内（4は制限なし、生成バッチ別）
# 余詰検査: 主手順の余詰を除外、最終手の複数解を許容
# 手順形式: SFEN moves <初手> <玉方応手> <3手目> <玉方応手> <5手目> <玉方応手> <7手目> <玉方応手> <詰めの手>
k8/1LL6/1+LL6/9/9/9/9/9/9 b 2r2b4g4s4n18p 1 moves 8b8a+ 9a8a 7b7a+ 8a9a 7a8a 9a8a 7c7b+ 8a9a 7b8b
9/9/9/9/9/9/S+NR6/9/1kSP5 b r2b4g2s3n4l17p 1 moves 7i7h 8i9i 9g8h 9i9h 7h8i 9h8i 7g7i 8i9h 7i9i
9/9/9/1R7/k1+N6/9/9/9/9 b r2b4g4s3n4l18p 1 moves 7e8e 9e9f 8e8f 9f9g 8f8g 9g9h 8g8h 9h9i 8h8i
2k1+B4/L8/1B7/9/9/9/9/9/9 b 2r4g4s4n3l18p 1 moves 5a6a 7a8b 6a7b 8b9c 8c9d+ 9c9b 9d8c 9b9a 7b8b
l8/1k7/3N5/1SPL5/9/9/9/9/9 b 2r2b4g3s3n2l17p 1 moves 7d7c+ 8b8a 6c7a+ 8a7a 6d6b+ 7a8a 6b7b 8a9b 8d8c+
9/9/7Bk/9/6LP1/9/9/9/9 b G2rb3g4s4n3l17p 1 moves G*2d 1c2b 3e3c+ 2b1a 2c1b+ 1a1b 2d2c 1b2a 2c2b
9/9/9/9/9/8B/6+P2/8k/9 b 2G2rb2g4s4n4l17p 1 moves 1f2g 1h2i 2g3h 2i3i G*4i 3i2h 3g2g 2h1h G*2i
9/9/9/9/9/6+S1+R/7N+B/6k1p/4+B4 b r4g3s3n4l17p 1 moves 3f3g 3h2i 1g1h 2i3i 3g3h 3i3h 1f3f P*3g 3f3g
9/9/7+R1/7+N1/8k/9/9/9/9 b r2b4g4s3n4l18p 1 moves 2d2e 1e1f 2e2f 1f1g 2f2g 1g1h 2g2h 1h1i 2h2i
9/9/9/7R1/6G1k/9/9/9/9 b r2b3g4s4n4l18p 1 moves 3e2e 1e1f 2e2f 1f1g 2f2g 1g1h 2g2h 1h1i 2h2i
